video_name,question,answer,question_breakdown
v__ja1fre9OTE,Can you describe the gymnastics competition that is shown in the video in detail?,"This video shows a gymnastics competition which begins with an overhead shot. A gymnast is seen next to a balance beam on an elevated platform, while judges sit at a table attached to the same platform. Some distance away, there is another platform perpendicular to the first one where people are sitting on chairs. On the left side, another group of judges sits behind a table. The gymnast mounts the balance beam and starts the competition with a handstand, followed by a front flip and back flip. She performs various balance poses, including turns, jumps, and leaps. Finally, she does a dismount with cartwheels and jumps off the balance wheel, poses, and walks off the stage. Two people holding video cameras can be seen recording the gymnast. The video provides an interesting perspective from the point of view of the spectators, and the different shots provide a detailed description of the competition.","1. Identify the type of gymnastics competition being shown in the video (e.g., artistic, rhythmic, trampoline).
2. Observe the setting of the competition, including the venue, audience, and any notable decorations or branding.
3. Note the participants, including the number of gymnasts, their attire, and any identifying information (e.g., country, team).
4. Describe the events or routines being performed, including the specific apparatus used (e.g., floor, beam, vault).
5. Analyze the performance quality, including the level of difficulty, execution, and artistry of the routines.
6. Observe the scoring system or judging criteria being used, if visible.
7. Take note of any commentary or narration provided in the video that may give context to the competition.
8. Summarize the overall atmosphere of the competition, including the reactions of the audience and participants."
v_tF8Nv-QxbIU,What type of shoes is the man cleaning in the video?,The man in the video is cleaning red suede shoes and dark blue high-heeled suede shoes using a suede block and suede brush.,"1. Identify the man in the video.
2. Observe the type of shoes the man is cleaning.
3. Analyze the characteristics of the shoes (e.g., color, style, material).
4. Determine if the shoes belong to a specific category (e.g., sneakers, dress shoes, boots).
5. Summarize the findings regarding the type of shoes being cleaned."
v_B0GCHDqEsRU,Could you describe the video in detail?,"The video starts in front of a garage where a couple is dancing. The couple is surrounded by other people standing to the side. The setting is outdoors during the daytime, but there is no direct sunlight streaming down. On the left, there is a red truck that stretches all the way back towards the fence. Beyond the fence, there are woods visible. Towards the back of the scene, children are seen running around. A man is tending to a barbecue a few feet behind the dancing couple. The camera flashes intermittently, capturing the scene as the couple keeps dancing. Later in the video, another couple, with the man wearing a red jacket and cap joins in on the dancing. The video ends with the couples continuing to dance. Overall, the video depicts an outdoor gathering of people at an open space outside a garage, dancing and enjoying barbecue.","1. Identify the main subject or theme of the video.
2. Describe the setting or environment where the video takes place.
3. Note the key characters or individuals featured in the video.
4. Outline the sequence of events or actions that occur in the video.
5. Highlight any significant dialogue or narration present in the video.
6. Mention any visual elements, such as colors, lighting, and camera angles.
7. Discuss the overall mood or tone conveyed by the video.
8. Summarize any important messages or themes presented in the video."
v_qmHjHk0Hzz8,Can you describe the video in detail?,"In the video, a shirtless man wearing black shorts is seen standing in a throwing circle which is inside a practice net. The throwing circle is located in a field during the daytime, and in the distance, a tall pole with floodlights facing toward the field is visible. The man begins to spin a few times in place and then throws his discus with a great force. ","1. Identify the main subject or theme of the video.
2. Describe the setting or environment where the video takes place.
3. Note the key characters or individuals featured in the video.
4. Outline the sequence of events or actions that occur in the video.
5. Highlight any significant dialogue or narration present in the video.
6. Mention the visual style, including colors, lighting, and camera angles.
7. Discuss any notable sounds or music that accompany the visuals.
8. Summarize the overall mood or tone of the video.
9. Identify any key messages or themes conveyed through the video."
v_IRua6QGP-Ow,Can you describe in detail what happens in the video?,"The video is a demonstration of a bartender making a cocktail. The bartender is standing behind a well-lit bar with bottles of drinks behind him on shelves. He is wearing a black vest and tie over a white shirt. Using a jigger, he measures quantities of various spirits, mixes them with a tea whisk, then strains them into a mixer with a tea strainer. After tasting, he adds ice cubes to the mixer and shakes it. Lastly, he strains the mixture through a tea strainer into a glass with ice cubes and runs a lime on the rim of the glass before serving.","1. Identify the main subject or theme of the video.
2. Observe the setting or environment where the video takes place.
3. Note the characters or individuals present in the video.
4. Describe the actions or events that occur throughout the video.
5. Highlight any significant dialogue or narration that contributes to the understanding of the video.
6. Analyze the visual elements, such as colors, lighting, and camera angles.
7. Consider the emotional tone or mood conveyed in the video.
8. Summarize the overall message or conclusion presented in the video."
v_WCS8dzRT7Xk,What color shirt is the woman wearing and what is she doing in the video?,The woman is wearing a grey shirt and she is ironing a green piece of clothing on an ironing board.,"1. Identify the woman in the video.
2. Observe the color of the shirt the woman is wearing.
3. Describe the color of the shirt.
4. Analyze the actions of the woman in the video.
5. Summarize what the woman is doing in the video."
v_325CAs4hhq8,Can you describe the video in detail?,"The video starts with players wearing orange uniforms playing field hockey on a hockey field. In the next clip, several players are present on the field, leaning forward and anticipating a player to hit the ball. In the following clip, several girls from other teams are introduced and individual players are speaking into the camera. Then a coach is seen instructing players. The next few clips are of players standing on the field and getting instructions while individual players are being interviewed. A still photo of a team is shown. In the next clip, a play is shown with players on the field chasing a ball, and two teams are visible. The coach is speaking into the camera during the game. The video ends with a goal in the game by a player in an orange uniform.","1. Identify the main subject or theme of the video.
2. Describe the setting or environment where the video takes place.
3. Note the key characters or individuals featured in the video.
4. Outline the sequence of events or actions that occur in the video.
5. Highlight any significant dialogue or narration present in the video.
6. Mention the visual style, including colors, lighting, and camera angles.
7. Discuss any notable sounds or music that accompany the visuals.
8. Summarize the overall mood or tone of the video.
9. Identify any key messages or themes conveyed through the video."
v_hFi6S_guB7I,What movements do the women make as the music starts?,"As the music starts, the women slowly turn around and begin belly dancing.","1. Identify the context of the scene where the music starts.
2. Observe the women present in the scene.
3. Focus on the initial moments as the music begins.
4. Analyze the body movements of the women, including gestures, posture, and positioning.
5. Note any specific dance movements or rhythmic actions they perform.
6. Pay attention to facial expressions and interactions between the women as the music plays.
7. Summarize the types of movements observed, categorizing them if necessary (e.g., fluid, sharp, synchronized).
8. Consider the overall mood or theme conveyed through their movements in relation to the music."
v_zRqJZ0u6f88,What is happening in the video?,"In the video, a man wearing a red shirt and trousers and holding a tool belt is standing by a window in a dimly lit room. He speaks to the camera, gestures towards the window and then cleans it using a spray bottle and a cloth while parked cars and a house across the street are visible.","1. Analyze the video content frame by frame.
2. Identify the main subjects or objects present in the video.
3. Observe the actions or movements of the subjects or objects.
4. Note any dialogue, sounds, or music that may provide context.
5. Determine the setting or environment where the video takes place.
6. Look for any changes in the scene or transitions between different parts of the video.
7. Summarize the overall theme or message conveyed by the video.
8. Consider the emotional tone or mood of the video based on visual and auditory cues."
v_mShp2gzuPOM,Can you describe the content of the video in detail?,"The video shows a badminton game being played on a court in a gym. At the beginning of the video, the shot is blurry, but it becomes clearer to reveal the badminton court and its surroundings. The player wearing a green top is shown walking to the court to start playing. The gym is brightly lit with overhead lights, and there are people standing on the edges of the court. A woman with a camera is sitting near the netting on the left pole, taking pictures of the girl playing. There is a scoreboard on the top of the wall in the back of the gym, and an American flag is hung vertically on the wall. There are bleachers to the left that are retracted to the wall. The game starts with the girl in the green top serving, and the player at the far end drops the shuttle. The game restarts with the girl in the green top serving again. The players continue to play, making hits and misses, and a girl is visible sitting on the right end of the net. The video ends with the player in the green t-shirt serving, and the player at the other end hitting the shuttle into the net. Then, the two players shake hands and walk away.","1. Identify the main subject or theme of the video.
2. Note the setting or location where the video takes place.
3. Describe the key characters or individuals featured in the video.
4. Outline the sequence of events or actions that occur in the video.
5. Highlight any significant dialogue or narration present in the video.
6. Mention any visual elements, such as colors, graphics, or special effects.
7. Discuss the overall tone or mood conveyed through the video.
8. Summarize any important messages or themes presented in the video."
v_EZyLBq2jJtE,Can you describe the video in detail?,"The video starts in a well-lit room with white walls and a woman seated on a chair wearing a red shirt, black & purple track pants, and white sports shoes. Her name is Bethany and she proceeds to shave her legs with a razor while talking to the cameraman. A woman enters the room through an open door on the left and shows some papers to Bethany before leaving. Bethany then stands up and strikes a pose, with a woman in a grey top and glasses standing behind her. The room contains a sofa, printer, wall clock, landline phone, and documents on the shelf. Bethany finishes by skipping out of frame and the video fades to black. The video begins and ends with black screens, with the text ""REALLY BETHANY Shaving Your Legs In My Office…REALLY?"" shown at the start. Overall, the video depicts the act of Bethany shaving her legs in an office setting and featuring a brief interaction with another woman.","1. Identify the main subject or theme of the video.
2. Describe the setting or environment where the video takes place.
3. Note the key characters or individuals featured in the video.
4. Outline the sequence of events or actions that occur in the video.
5. Highlight any significant dialogue or narration present in the video.
6. Mention the visual style, including colors, lighting, and camera angles.
7. Discuss any notable sounds or music that accompany the visuals.
8. Summarize the overall mood or tone of the video.
9. Identify any key messages or themes conveyed through the video."
v_fM5egP_1DvQ,What is the color of the vest the man who won the gold medal is wearing?,The man who won the gold medal is wearing a dark blue T-shirt.,"1. Identify the man who won the gold medal.
2. Locate the vest that the identified man is wearing.
3. Determine the color of the vest."
v_sbnF7VVeopM,Can you describe the video in detail?,"The video starts with text on the screen, after which a person wearing a chef's uniform is shown in a well-lit washing area wearing rubber gloves and washing dishes over a counter. To the right of the person, a basket with plates stacked in it can be seen, while a white can is placed near the wall to their left. The person washes a plate with steel wool and uses a handheld kitchen faucet sprayer to rinse it before stacking it with the others on their right. The following clip shows a montage of stock footage such as people crossing the street during the daytime, a person in a dimly lit workshop welding something and a monster truck driving through a muddy track. The video ends with a clip of cars moving through traffic during the day.","1. Identify the main subject or theme of the video.
2. Describe the setting or environment where the video takes place.
3. Note the key characters or individuals featured in the video.
4. Outline the sequence of events or actions that occur in the video.
5. Highlight any significant dialogue or narration present in the video.
6. Mention the visual style, including colors, lighting, and camera angles.
7. Discuss any notable sounds or music that accompany the visuals.
8. Summarize the overall mood or tone of the video.
9. Identify any key messages or themes conveyed through the video."
v_ijrjRNwZjqQ,What do Kevin Spacey and Rafael Nadal do at the beginning of the video?,"At the beginning of the video, Kevin Spacey and Rafael Nadal appear on the stage wearing tuxedos and interacting with each other.","1. Identify the video being referenced in the question.
2. Locate the beginning segment of the video.
3. Observe the actions of Kevin Spacey at the beginning of the video.
4. Observe the actions of Rafael Nadal at the beginning of the video.
5. Compare and summarize the actions of both individuals at the beginning of the video."
v_fh21bbDSVmA,What is the gymnast wearing in the video and where is he performing?,"In the video, the gymnast is wearing blue track pants and a white vest with blue and red stripes. He is performing on a pommel horse in a well-lit arena with blue walls and blue chairs.","1. Identify the gymnast in the video.
2. Observe and describe the clothing and accessories the gymnast is wearing.
3. Determine the location where the gymnast is performing.
4. Describe the environment or setting of the performance."
v_NvRH4SoF09c,What is the man wearing in the video?,"The man is wearing a black shirt and pants, and glasses.","1. Identify the man in the video.
2. Focus on the area of the video where the man is located.
3. Observe the clothing items the man is wearing.
4. Note the colors, patterns, and styles of the clothing.
5. Identify any accessories the man may have (e.g., hats, glasses, jewelry).
6. Summarize the findings about the man's attire."
v_AwgGYaV1lT0,What objects are visible behind or around the man?,"There are trailers, a truck, a tent, a bike, a foldable table with chairs, and a log placed upright in front of the man.","1. Identify the man in the image or scene.
2. Determine the perspective or viewpoint from which the scene is being observed.
3. Analyze the area behind the man to identify any objects that are present.
4. Examine the area around the man to identify any objects that are visible.
5. Categorize the identified objects based on their location (behind or around the man).
6. List the identified objects with their respective locations (e.g., behind, to the left, to the right, etc.)."
v_ks018ZYzrx4,Can you describe the main events in the video?,"The video showcases a montage from inside a camper van passing through different locations, a boy pushing a dirt bike, an indoor dirt biking arena filled with spectators and with bikes parked at near end of the arena, people preparing berms, various scenes from the arena, two boys riding a dirt bike and doing doughnuts and kids racing in the dirt bike arena.","1. Identify the video being referenced.
2. Watch the video carefully to understand its content.
3. Take note of the key scenes and transitions in the video.
4. Identify the main characters or subjects involved in the events.
5. Summarize the primary actions or events that occur in the video.
6. Highlight any significant dialogue or narration that contributes to the main events.
7. Organize the events in chronological order.
8. Provide a concise description of each main event identified."
v_TKgU9QJXw2w,What caused the boy in the grey t-shirt and black pants to hit the ball towards the wall in the racquetball court?,The boy in the grey t-shirt and black pants hit the ball towards the wall to start the game.,
v_BFChXuwZ4wo,Can you describe the video in detail?,"The video follows two women as they enter a tattoo parlor. Inside, there are various types of equipment and pictures on the wall. One of the women goes to the tattoo artist to get a stencil on her wrist. The tattoo artist is wearing a white shirt and glasses. A close-up of the stencil is shown and the girl is seen standing in front of the mirror, examining the stencil. In the next clip, the tattoo artist starts to clean the area and dips the needle in the ink to start tattooing. A close-up is also shown of this process with blood visible. Once the tattoo is complete, the girl holds it up to the camera and walks out of the tattoo parlor while the cameraman turns the camera towards himself and another girl standing next to him.","1. Identify the main subject or theme of the video.
2. Describe the setting or environment where the video takes place.
3. Note the key characters or figures present in the video.
4. Outline the sequence of events or actions that occur in the video.
5. Highlight any significant dialogue or narration present in the video.
6. Mention the visual style, including colors, lighting, and camera angles.
7. Discuss any notable sounds or music that accompany the visuals.
8. Summarize the overall mood or tone of the video.
9. Identify any key messages or themes conveyed through the video."
v_HURRgbZGz8Q,"What is the object being thrown in the video, and what do the athletes do?","The athletes are participating in a spear-throw competition, where they run and throw spears. The landing of the spears is shown, and there are lanes marked with numbers at their heads in the landing area. Additionally, the camera follows the thrown spear to its destination and the athletes' names and throw distances are recorded on a scoreboard at the end of the video.","1. Identify the video content and context.
2. Observe the scene to determine the object being thrown.
3. Analyze the characteristics of the object (size, shape, color, etc.).
4. Identify the athletes present in the video.
5. Observe the actions of the athletes related to the throwing activity.
6. Note any specific techniques or movements used by the athletes.
7. Determine the overall interaction between the athletes and the object being thrown."
v_0DFz3sgfda0,What are some of the ingredients that the girls put in the salad in the video?,"Some of the ingredients that the girls put in the salad in the video include lettuce, tomatoes, cabbage, and peanuts. They also added oil and salt to the salad.","1. Identify the video featuring the girls making a salad.
2. Observe the scene where the girls are preparing the salad.
3. Focus on the ingredients being added to the salad.
4. List each ingredient as it is added by the girls.
5. Note any specific actions or descriptions related to the ingredients.
6. Compile the list of ingredients mentioned or shown in the video."
v_wh4JNeQh9FQ,What is the technician doing with the tattoo gun?,The technician is tattooing the girl's earlobe with the tattoo gun.,"1. Identify the technician in the visual context.
2. Locate the tattoo gun in the scene.
3. Observe the technician's hand movements and positioning relative to the tattoo gun.
4. Analyze the technician's actions with the tattoo gun (e.g., holding, adjusting, or using it).
5. Look for any interaction between the tattoo gun and the skin of a client or surface.
6. Note any additional tools or materials present that may be related to the tattooing process.
7. Consider the overall environment and context in which the technician is working."
v_tF8Nv-QxbIU,Can you describe what happens in the video in detail?,"In the video, a man dressed in a green t-shirt and khaki trousers is seen standing inside a well-lit shoe maker’s shop. He is standing behind a wooden counter which has shoes on them, while shelves behind him hold various shoe repair kits. There are also a few shoe brushes on the counter. The man picks up a suede block and a suede brush and shows them to the camera, before proceeding to clean a pair of red suede shoes. He vigorously rubs them with the brush. Later, he picks up a dark blue high-heeled suede shoe and brushes it with the suede brush.","1. Identify the main subject or theme of the video.
2. Observe the setting or environment where the video takes place.
3. Note the characters or individuals present in the video.
4. Describe the actions or events occurring in the video sequentially.
5. Highlight any significant dialogue or narration present in the video.
6. Analyze the emotions or reactions of the characters involved.
7. Mention any visual or auditory elements that stand out (e.g., colors, music, sound effects).
8. Summarize the overall message or conclusion of the video."
v_83f0iwb8VW8,Can you describe the video in detail?,"In the video, there are two men sparring in a dojo wearing protective gear. The floor is covered with blue and red carpet and there is a poster with a skull and words ""THE CHOSEN FEW"" on the wall behind them. One of the men is wearing all black and the other is wearing a red headgear. As they spar, they move around the dojo, trying different moves and techniques. In the background, there are people sitting with their backs to the wall. A man in a red t-shirt is seen walking across the camera, who appears to be instructing the boxers. The man wearing black is trying to kick and punch the other boxer, while the man in the red t-shirt is moving around observing them. The two men move towards a mirror wall as they spar. Finally, the video ends as they stop sparring.","1. Identify the main subject or theme of the video.
2. Describe the setting or environment where the video takes place.
3. Note the key characters or individuals featured in the video.
4. Outline the sequence of events or actions that occur in the video.
5. Highlight any significant dialogue or narration present in the video.
6. Mention the visual style, including colors, lighting, and camera angles.
7. Discuss the audio elements, such as background music or sound effects.
8. Summarize the overall mood or tone of the video.
9. Identify any important messages or themes conveyed in the video.
10. Conclude with any notable moments or visuals that stand out."
v_LvaU_4xbxb0,Who is giving instructions to the two girls boxing in the gym?,The two girls are following instructions from an instructor who is outside the frame.,"1. Identify the setting: Look for a gym environment where boxing is taking place.
2. Locate the two girls: Find the two individuals who are boxing in the gym.
3. Observe the interactions: Look for any individuals present who may be interacting with the two girls.
4. Identify the instructor: Determine who is giving instructions or guidance to the two girls.
5. Analyze the body language: Observe the gestures or movements of the person giving instructions to confirm their role.
6. Confirm the relationship: Ensure that the identified individual is indeed instructing the girls and not just observing or participating."
